state_canonical,state_code,snapshot_date,fy_anchor,total_beneficiaries
Andaman and Nicobar Islands,AN,2019-10-17,2019-20,49891
Andaman and Nicobar Islands,AN,2021-03-05,2020-21,47714
Andaman and Nicobar Islands,AN,2024-02-27,2023-24,61297
Andaman and Nicobar Islands,AN,2025-02-15,2024-25,61777
Andaman and Nicobar Islands,AN,2025-12-13,2025-26roll,64085
Andhra Pradesh,AP,2019-10-17,2019-20,10225922
Andhra Pradesh,AP,2021-03-05,2020-21,11281559
Andhra Pradesh,AP,2024-02-27,2023-24,14877737
Andhra Pradesh,AP,2025-02-15,2024-25,15556018
Andhra Pradesh,AP,2025-12-13,2025-26roll,16985867
Arunachal Pradesh,AR,2019-10-17,2019-20,320866
Arunachal Pradesh,AR,2021-03-05,2020-21,353791
Arunachal Pradesh,AR,2024-02-27,2023-24,451814
Arunachal Pradesh,AR,2025-02-15,2024-25,460877
Arunachal Pradesh,AR,2025-12-13,2025-26roll,475765
Assam,AS,2019-10-17,2019-20,15818796
Assam,AS,2021-03-05,2020-21,18440946
Assam,AS,2024-02-27,2023-24,23407563
Assam,AS,2025-02-15,2024-25,24743282
Assam,AS,2025-12-13,2025-26roll,25424357
Bihar,BR,2019-10-17,2019-20,42193505
Bihar,BR,2021-03-05,2020-21,48174984
Bihar,BR,2024-02-27,2023-24,57991850
Bihar,BR,2025-02-15,2024-25,62440377
Bihar,BR,2025-12-13,2025-26roll,66905528
Chandigarh,CH,2019-10-17,2019-20,255508
Chandigarh,CH,2021-03-05,2020-21,267595
Chandigarh,CH,2024-02-27,2023-24,324824
Chandigarh,CH,2025-02-15,2024-25,335416
Chandigarh,CH,2025-12-13,2025-26roll,339491
Chhattisgarh,CG,2019-10-17,2019-20,14548251
Chhattisgarh,CG,2021-03-05,2020-21,15298722
Chhattisgarh,CG,2024-02-27,2023-24,17425525
Chhattisgarh,CG,2025-02-15,2024-25,18226077
Chhattisgarh,CG,2025-12-13,2025-26roll,18503484
Dadra and Nagar Haveli and Daman and Diu,DN,2019-10-17,2019-20,177741
Dadra and Nagar Haveli and Daman and Diu,DN,2021-03-05,2020-21,205229
Dadra and Nagar Haveli and Daman and Diu,DN,2024-02-27,2023-24,231371
Dadra and Nagar Haveli and Daman and Diu,DN,2025-02-15,2024-25,239221
Dadra and Nagar Haveli and Daman and Diu,DN,2025-12-13,2025-26roll,243971
Delhi,DL,2019-10-17,2019-20,4512534
Delhi,DL,2021-03-05,2020-21,4789940
Delhi,DL,2024-02-27,2023-24,6233490
Delhi,DL,2025-02-15,2024-25,6663425
Delhi,DL,2025-12-13,2025-26roll,6917241
Goa,GA,2019-10-17,2019-20,163691
Goa,GA,2021-03-05,2020-21,169129
Goa,GA,2024-02-27,2023-24,207722
Goa,GA,2025-02-15,2024-25,215025
Goa,GA,2025-12-13,2025-26roll,226390
Gujarat,GJ,2019-10-17,2019-20,14518327
Gujarat,GJ,2021-03-05,2020-21,15961681
Gujarat,GJ,2024-02-27,2023-24,18484890
Gujarat,GJ,2025-02-15,2024-25,19168025
Gujarat,GJ,2025-12-13,2025-26roll,19661205
Haryana,HR,2019-10-17,2019-20,7353764
Haryana,HR,2021-03-05,2020-21,7868803
Haryana,HR,2024-02-27,2023-24,9809203
Haryana,HR,2025-02-15,2024-25,10483845
Haryana,HR,2025-12-13,2025-26roll,10911166
Himachal Pradesh,HP,2019-10-17,2019-20,1249895
Himachal Pradesh,HP,2021-03-05,2020-21,1495062
Himachal Pradesh,HP,2024-02-27,2023-24,1880330
Himachal Pradesh,HP,2025-02-15,2024-25,1978132
Himachal Pradesh,HP,2025-12-13,2025-26roll,2035755
Jammu and Kashmir,JK,2019-10-17,2019-20,2275428
Jammu and Kashmir,JK,2021-03-05,2020-21,2454278
Jammu and Kashmir,JK,2024-02-27,2023-24,2753538
Jammu and Kashmir,JK,2025-02-15,2024-25,2339932
Jammu and Kashmir,JK,2025-12-13,2025-26roll,2422153
Jharkhand,JH,2019-10-17,2019-20,12947211
Jharkhand,JH,2021-03-05,2020-21,15389866
Jharkhand,JH,2024-02-27,2023-24,18419324
Jharkhand,JH,2025-02-15,2024-25,19475006
Jharkhand,JH,2025-12-13,2025-26roll,20225625
Karnataka,KA,2019-10-17,2019-20,14755227
Karnataka,KA,2021-03-05,2020-21,15132391
Karnataka,KA,2024-02-27,2023-24,19063303
Karnataka,KA,2025-02-15,2024-25,20228636
Karnataka,KA,2025-12-13,2025-26roll,21243921
Kerala,KL,2019-10-17,2019-20,4207352
Kerala,KL,2021-03-05,2020-21,4718225
Kerala,KL,2024-02-27,2023-24,6179482
Kerala,KL,2025-02-15,2024-25,6759256
Kerala,KL,2025-12-13,2025-26roll,7278812
Ladakh,LA,2021-03-05,2020-21,20822
Ladakh,LA,2024-02-27,2023-24,22160
Ladakh,LA,2025-02-15,2024-25,18464
Ladakh,LA,2025-12-13,2025-26roll,20753
Lakshadweep,LD,2019-10-17,2019-20,5403
Lakshadweep,LD,2021-03-05,2020-21,5990
Lakshadweep,LD,2024-02-27,2023-24,10359
Lakshadweep,LD,2025-02-15,2024-25,10268
Lakshadweep,LD,2025-12-13,2025-26roll,10376
Madhya Pradesh,MP,2019-10-17,2019-20,32046627
Madhya Pradesh,MP,2021-03-05,2020-21,35236683
Madhya Pradesh,MP,2024-02-27,2023-24,43215166
Madhya Pradesh,MP,2025-02-15,2024-25,44867839
Madhya Pradesh,MP,2025-12-13,2025-26roll,46362247
Maharashtra,MH,2019-10-17,2019-20,26159548
Maharashtra,MH,2021-03-05,2020-21,29810673
Maharashtra,MH,2024-02-27,2023-24,34233710
Maharashtra,MH,2025-02-15,2024-25,36383945
Maharashtra,MH,2025-12-13,2025-26roll,37256774
Manipur,MN,2019-10-17,2019-20,931463
Manipur,MN,2021-03-05,2020-21,1021973
Manipur,MN,2024-02-27,2023-24,1074900
Manipur,MN,2025-02-15,2024-25,1115937
Manipur,MN,2025-12-13,2025-26roll,1083389
Meghalaya,ML,2019-10-17,2019-20,459326
Meghalaya,ML,2021-03-05,2020-21,588123
Meghalaya,ML,2024-02-27,2023-24,763624
Meghalaya,ML,2025-02-15,2024-25,829796
Meghalaya,ML,2025-12-13,2025-26roll,897769
Mizoram,MZ,2019-10-17,2019-20,308794
Mizoram,MZ,2021-03-05,2020-21,320251
Mizoram,MZ,2024-02-27,2023-24,377409
Mizoram,MZ,2025-02-15,2024-25,408089
Mizoram,MZ,2025-12-13,2025-26roll,429952
Nagaland,NL,2019-10-17,2019-20,294475
Nagaland,NL,2021-03-05,2020-21,326542
Nagaland,NL,2024-02-27,2023-24,384736
Nagaland,NL,2025-02-15,2024-25,407003
Nagaland,NL,2025-12-13,2025-26roll,413749
Odisha,OR,2019-10-17,2019-20,14941832
Odisha,OR,2021-03-05,2020-21,17190154
Odisha,OR,2024-02-27,2023-24,21188710
Odisha,OR,2025-02-15,2024-25,22754810
Odisha,OR,2025-12-13,2025-26roll,23547741
Puducherry,PY,2019-10-17,2019-20,155607
Puducherry,PY,2021-03-05,2020-21,163649
Puducherry,PY,2024-02-27,2023-24,217000
Puducherry,PY,2025-02-15,2024-25,243063
Puducherry,PY,2025-12-13,2025-26roll,275553
Punjab,PB,2019-10-17,2019-20,6890414
Punjab,PB,2021-03-05,2020-21,7306465
Punjab,PB,2024-02-27,2023-24,8992445
Punjab,PB,2025-02-15,2024-25,9467011
Punjab,PB,2025-12-13,2025-26roll,9700686
Rajasthan,RJ,2019-10-17,2019-20,26315575
Rajasthan,RJ,2021-03-05,2020-21,29161136
Rajasthan,RJ,2024-02-27,2023-24,35005696
Rajasthan,RJ,2025-02-15,2024-25,36644583
Rajasthan,RJ,2025-12-13,2025-26roll,37895701
Sikkim,SK,2019-10-17,2019-20,93727
Sikkim,SK,2021-03-05,2020-21,87036
Sikkim,SK,2024-02-27,2023-24,89887
Sikkim,SK,2025-02-15,2024-25,94617
Sikkim,SK,2025-12-13,2025-26roll,107772
Tamil Nadu,TN,2019-10-17,2019-20,10462573
Tamil Nadu,TN,2021-03-05,2020-21,11078369
Tamil Nadu,TN,2024-02-27,2023-24,15501391
Tamil Nadu,TN,2025-02-15,2024-25,16886209
Tamil Nadu,TN,2025-12-13,2025-26roll,18330688
Telangana,TG,2019-10-17,2019-20,9733927
Telangana,TG,2021-03-05,2020-21,10118386
Telangana,TG,2024-02-27,2023-24,11736950
Telangana,TG,2025-02-15,2024-25,12400993
Telangana,TG,2025-12-13,2025-26roll,13176012
Tripura,TR,2019-10-17,2019-20,883090
Tripura,TR,2021-03-05,2020-21,907768
Tripura,TR,2024-02-27,2023-24,1021404
Tripura,TR,2025-02-15,2024-25,1107368
Tripura,TR,2025-12-13,2025-26roll,1145500
Uttar Pradesh,UP,2019-10-17,2019-20,59012210
Uttar Pradesh,UP,2021-03-05,2020-21,71002480
Uttar Pradesh,UP,2024-02-27,2023-24,92163034
Uttar Pradesh,UP,2025-02-15,2024-25,97570755
Uttar Pradesh,UP,2025-12-13,2025-26roll,101955047
Uttarakhand,UK,2019-10-17,2019-20,2530069
Uttarakhand,UK,2021-03-05,2020-21,2719535
Uttarakhand,UK,2024-02-27,2023-24,3571348
Uttarakhand,UK,2025-02-15,2024-25,3817719
Uttarakhand,UK,2025-12-13,2025-26roll,3998576
West Bengal,WB,2019-10-17,2019-20,35352942
West Bengal,WB,2021-03-05,2020-21,40151497
West Bengal,WB,2024-02-27,2023-24,50603033
West Bengal,WB,2025-02-15,2024-25,53589642
West Bengal,WB,2025-12-13,2025-26roll,55071664
