state_canonical,fy,year,transactions_count,population,per_capita_dp,phc_count,area_total_km2,phc_per_sqkm,literacy_rate,per_capita_nsdp,share_urban,population_density
Andhra Pradesh,2019-20,2019,1223218907,52315000,23.381800764599063,1385,162975,0.008498235925755484,68.9,110587,0.3429190897915402,324
Arunachal Pradesh,2019-20,2019,7060278,1507000,4.684988719309887,124,83743,0.00148072077666193,83.7,113081,0.24782347489191847,18
Assam,2019-20,2019,105106727,34418000,3.0538301760706608,1002,78438,0.012774420561462557,87.9,61519,0.15105235671671272,448
Bihar,2019-20,2019,415865569,120114000,3.4622572639325973,2027,94163,0.021526501916888797,72.3,29798,0.11976446893904816,1314
Chhattisgarh,2019-20,2019,129118832,28852000,4.47521253292666,837,135192,0.006191194745251198,78.4,76749,0.2591906274313062,219
Goa,2019-20,2019,27281296,1543000,17.680684381075828,59,3702,0.015937331172339277,89.6,313973,0.7167857581797734,422
Gujarat,2019-20,2019,530715483,68245000,7.776620748772804,1795,196244,0.009146776461955525,84.4,164060,0.4684277399123406,357
Haryana,2019-20,2019,714581183,28807000,24.805817440205505,485,44212,0.010969872432823668,79.5,170616,0.39868468161421516,670
Himachal Pradesh,2019-20,2019,67810331,7315000,9.270038414217362,588,55673,0.01056167262407271,86.6,140944,0.102264563225923,133
Jammu and Kashmir,2019-20,2019,26808792,13237000,2.02529213568029,972,163090,0.005959899442025875,78.4,68437,0.2956438231908799,82
Jharkhand,2019-20,2019,178242382,37581000,4.742885553870307,351,79716,0.004403131115459882,72.8,55658,0.2552139817228045,485
Karnataka,2019-20,2019,1662228172,65973000,25.19558261713125,2534,191791,0.013212298804427737,81,156086,0.4262261859023476,349
Kerala,2019-20,2019,390143264,35186000,11.08802546467345,932,38852,0.023988469062081748,94,147951,0.6692934062370255,915
Madhya Pradesh,2019-20,2019,503343999,82613000,6.0927941002021475,1476,308252,0.004788290100307541,76.4,60452,0.2857456436288339,275
Maharashtra,2019-20,2019,2379792821,122533000,19.421648217214955,2675,307713,0.008693165384627884,84,142211,0.47504888835515635,405
Manipur,2019-20,2019,10379267,3111000,3.336312118289939,93,22327,0.004165360326062615,88.9,49267,0.31440827103504565,142
Meghalaya,2019-20,2019,6882421,3232000,2.129461943069307,143,22429,0.0063756743501716525,92.7,61755,0.20499553059275058,147
Mizoram,2019-20,2019,3981097,1195000,3.3314619246861925,65,21081,0.0030833451923533038,99.8,130741,0.541302663706526,58
Nagaland,2019-20,2019,7049580,2155000,3.2712668213457077,137,16579,0.008263465830267205,96.2,73361,0.4053057170488272,133
Odisha,2019-20,2019,356827818,43732000,8.159421430531419,1377,155707,0.008843533046041603,75.7,76462,0.18160349059671352,294
Puducherry,2019-20,2019,19351521,1515000,12.773281188118812,39,490,0.07959183673469387,91.5,153166,0.6962602410232249,3233
Punjab,2019-20,2019,203699211,29939000,6.803808109823307,527,50362,0.010464238910289504,80.4,118487,0.4047391958030324,604
Rajasthan,2019-20,2019,613696426,77601000,7.908357186118735,2477,342239,0.0072376321810196965,71.5,76643,0.2607592102378512,233
Sikkim,2019-20,2019,5471379,665000,8.227637593984962,25,7096,0.0035231116121758736,86.1,248691,0.41608756914363754,96
Tamil Nadu,2019-20,2019,1029529521,75813000,13.579854655534012,1884,130060,0.014485622020605875,83.6,144845,0.5203154069839728,588
Telangana,2019-20,2019,1382781430,37283000,37.088791942708475,885,98684,0.008968019131774148,70.5,153286,0.4482864495988772,383
Tripura,2019-20,2019,14358668,4002000,3.587873063468266,112,10486,0.010680907877169559,92,83985,0.3512857335711193,389
Uttar Pradesh,2019-20,2019,2456255620,225967000,10.869974907840525,3473,240928,0.01441509496613096,73.5,43061,0.23483481807615778,962
Uttarakhand,2019-20,2019,120479287,11184000,10.772468437052932,295,53483,0.0055157713666024715,81.2,150820,0.3413986435073244,214
West Bengal,2019-20,2019,523000843,97109000,5.3857092854421325,1369,88752,0.015425004506940688,81.2,69559,0.3524911987945572,1107
Andhra Pradesh,2020-21,2020,2148252273,52599000,40.84207443107283,1401,162975,0.00859641049240681,69.8,105880,0.3488044331623409,324
Arunachal Pradesh,2020-21,2020,16136999,1522000,10.60249605781866,127,83743,0.0015165446664198799,85.1,106002,0.25013164635942703,18
Assam,2020-21,2020,202800298,34793000,5.828767223292042,1001,78438,0.012761671638746527,89.4,61304,0.15231468639419765,448
Bihar,2020-21,2020,780605447,121895000,6.403916871077567,2034,94163,0.021600841094697492,74.1,26820,0.12061629809376112,1314
Chhattisgarh,2020-21,2020,241487411,29237000,8.259650819167494,821,135192,0.006072844547014616,77.5,73259,0.26253684781231945,219
Goa,2020-21,2020,50848102,1553000,32.741855763039275,27,3702,0.007293354943273906,92.7,298527,0.7286683435357547,422
Gujarat,2020-21,2020,1004509583,69171000,14.522120296077835,1799,196244,0.009167159250728685,84.7,156285,0.47373581073390847,357
Haryana,2020-21,2020,1030408720,29213000,35.272266456714476,484,44212,0.010947254139147742,81.1,155756,0.40492266778994773,670
Himachal Pradesh,2020-21,2020,133001700,7362000,18.0659739201304,572,55673,0.01027428017171699,87.5,134111,0.10250954329268065,133
Jammu and Kashmir,2020-21,2020,58028828,13340000,4.349987106446776,973,163090,0.005966031025813967,80.3,65444,0.29837994730972567,82
Jharkhand,2020-21,2020,325770411,38115000,8.547039512003149,350,79716,0.0043905865823674044,73.1,51464,0.2570554470044775,485
Karnataka,2020-21,2020,2803646479,66496000,42.16263352682868,2531,191791,0.013196656777429597,81.2,149030,0.4311661189566078,349
Kerala,2020-21,2020,740602556,35368000,20.93990488577245,940,38852,0.024194378667764853,94.4,132531,0.6933292030481636,915
Madhya Pradesh,2020-21,2020,882959681,83755000,10.542172777744613,1518,308252,0.004924542257633365,75.7,56320,0.2869218437328709,275
Maharashtra,2020-21,2020,4037787225,123676000,32.64810654451955,2490,307713,0.008091955815971375,84.7,127970,0.4779021232785865,405
Manipur,2020-21,2020,24856871,3142000,7.911161998726926,95,22327,0.004254937967483316,90.1,44449,0.3171978303472832,142
Meghalaya,2020-21,2020,16243826,3264000,4.976662377450981,145,22429,0.006464844620803424,95.3,60522,0.2055326666620809,147
Mizoram,2020-21,2020,10932068,1207000,9.057222866611433,68,21081,0.0032256534320003797,98.8,116229,0.543826065241286,58
Nagaland,2020-21,2020,16972407,2177000,7.796236564079008,138,16579,0.008323783099101272,96.9,68272,0.41989580665908144,133
Odisha,2020-21,2020,583753268,43913000,13.293404413271697,1379,155707,0.008856377683726485,77.2,73357,0.1834469094064082,294
Puducherry,2020-21,2020,34301033,1549000,22.14398515171078,39,490,0.07959183673469387,90.6,135586,0.6978775952590872,3233
Punjab,2020-21,2020,360041528,30179000,11.930200735610855,522,50362,0.010364957706207061,82.6,113025,0.4084773468819135,604
Rajasthan,2020-21,2020,1176996594,78609000,14.972796931649048,2394,342239,0.0069951116032947736,73,73140,0.2622664497376357,233
Sikkim,2020-21,2020,10958593,672000,16.30743005952381,26,7096,0.0036640360766629085,88,237212,0.4366573538933527,96
Tamil Nadu,2020-21,2020,1724506315,76167000,22.641121679992647,1886,130060,0.014500999538674458,84.7,143482,0.524857817248704,588
Telangana,2020-21,2020,2130135712,37536000,56.74913981244672,863,98684,0.008745085322848688,73.9,140703,0.45598776161339644,383
Tripura,2020-21,2020,26635594,4042000,6.589706580900544,116,10486,0.011062368872782759,91.4,79123,0.36248432721192575,389
Uttar Pradesh,2020-21,2020,3254414352,228931000,14.215699717382094,3516,240928,0.014593571523442688,73.9,39735,0.23635363801988327,962
Uttarakhand,2020-21,2020,224130092,11313000,19.81172916114205,287,53483,0.0053661911261522355,82.8,137987,0.3462828517825109,214
West Bengal,2020-21,2020,841857285,97719000,8.615082890737728,1369,88752,0.015425004506940688,82.5,63562,0.3567105737066849,1107
