state_canonical,state_code,year_window,population,upi_volume_avg_million,upi_value_avg_crore,per_capita_upi,per_capita_nsdp,literacy,internet_density,share_urban,pmjdy_per_adult,bank_offices_per_100k
Andaman and Nicobar Islands,AN,2023-24,403500,2.118333333333333,400.4425,5.249896736885584,178431,91.1,102.02,0.44502092027152,0.1868619645763388,19.33085501858736
Andaman and Nicobar Islands,AN,2024-25,404500,3.3008333333333333,555.4233333333333,8.160280181293778,178431,91.1,107.25,0.4504607098265121,0.1878596540345613,19.530284301606923
Andaman and Nicobar Islands,AN,2025-26r,405500,3.9291666666666667,621.2416666666667,9.689683518290177,178431,91.1,107.25,0.4559004993815041,0.19439753777300017,19.728729963008632
Andhra Pradesh,AP,2023-24,53309500,375.35,74798.98916666667,7.040958928521183,131083,72.6,66.74,0.36940313496014343,0.34531720510175734,15.516934129939315
Andhra Pradesh,AP,2024-25,53494000,552.7966666666666,98877.3325,10.333806906693585,141609,72.6,68.11,0.37528847833094414,0.3598150401972529,15.876546902456349
Andhra Pradesh,AP,2025-26r,53663000,570.1758333333333,98420.4075,10.625120349837566,141609,72.6,68.11,0.38117382170174485,0.3916505316277832,16.0799806197939
Arunachal Pradesh,AR,2023-24,1572500,9.7475,1634.1375,6.198728139904611,110766,84.2,56.59,0.25821024649570695,0.3870990708792931,14.244833068362482
Arunachal Pradesh,AR,2024-25,1587000,15.8225,2251.2516666666666,9.970069313169502,120943,84.2,58.33,0.2605184179632155,0.39125617748177105,15.500945179584122
Arunachal Pradesh,AR,2025-26r,1601000,20.203333333333333,2683.9791666666665,12.619196335623569,120943,84.2,58.33,0.26282658943072407,0.4003632968687656,16.052467207995004
Assam,AS,2023-24,35991500,114.67416666666666,17271.4175,3.186145802944214,80089,87,54.8,0.15673284026539486,0.8512827079463282,9.202172735229151
Assam,AS,2024-25,36326000,187.63583333333332,23103.128333333334,5.16533153480519,85988,87,55.84,0.15799516994287977,0.8915737715990193,9.23030336398172
Assam,AS,2025-26r,36654000,207.60666666666668,23359.431666666667,5.663956639566395,85988,87,55.84,0.1592574996203647,0.9079170256669818,9.256834179080045
Bihar,BR,2023-24,128286500,331.1308333333333,54739.144166666665,2.581182223642654,33966,74.3,42.1,0.12359770013525645,0.6701867393318796,6.427020769917334
Bihar,BR,2024-25,130123000,476.5308333333333,71068.73666666666,3.6621568311008303,36342,74.3,41.63,0.12444952928996941,0.7114121411552031,6.505383368044082
Bihar,BR,2025-26r,131945500,458.245,67131.10416666667,3.472986952946482,36342,74.3,41.63,0.12530135844468238,0.7517565880602249,6.501169043279233
Chandigarh,CH,2023-24,1241000,20.941666666666666,2839.81,16.874832124630675,275139,93.7,106.4,1,0.32574868917037664,39.88718775181306
Chandigarh,CH,2024-25,1253000,26.663333333333334,3410.5233333333335,21.279595637137536,275139,93.7,110.73,1,0.3331494131777571,39.984038308060654
Chandigarh,CH,2025-26r,1264500,26.999166666666667,3396.3016666666667,21.35165414524845,275139,93.7,110.73,1,0.33413023794756175,39.383155397390276
Chhattisgarh,CG,2023-24,30466000,97.74666666666667,13509.3975,3.2083853038359704,87681,78.5,56.39,0.2742486191458658,0.7300646137200382,10.592135495306243
Chhattisgarh,CG,2024-25,30810000,138.53166666666667,18297.968333333334,4.496321540625338,93161,78.5,56.67,0.277594839526879,0.755078957127653,10.759493670886076
Chhattisgarh,CG,2025-26r,31146500,139.28583333333333,17982.5725,4.471957790870028,93161,78.5,56.67,0.28094105990789225,0.7582896403039692,10.819835294495368
Dadra and Nagar Haveli and Daman and Diu,DN,2023-24,1340000,7.031666666666666,794.1483333333333,5.247512437810945,NA,87.8,61.25,0.8442407801193618,0.22143425008911827,8.134328358208956
Dadra and Nagar Haveli and Daman and Diu,DN,2024-25,1433000,10.320833333333333,1067.9358333333334,7.202256338683415,NA,87.8,57.87,0.8649695831418357,0.21408871801672347,7.955338450802513
Dadra and Nagar Haveli and Daman and Diu,DN,2025-26r,1536000,10.950833333333334,1168.0216666666668,7.129448784722222,NA,87.8,57.87,0.8856983861643096,0.20369842032818453,7.421875
Delhi,DL,2023-24,21687000,404.1875,55206.20916666667,18.637317286853875,271490,86.9,161.48,0.9985722524395367,0.3605452004453302,18.637893669018304
Delhi,DL,2024-25,22080500,445.32,55245.16916666667,20.168021557482845,283093,86.9,161.76,1,0.3785441520661362,18.66805552410498
Delhi,DL,2025-26r,22475500,488.3383333333333,61717.3625,21.727584851653283,283093,86.9,161.76,1,0.386057039506374,18.615826121777047
Goa,GA,2023-24,1581000,23.7275,3446.6416666666664,15.007906388361796,357611,93.6,152.48,0.7702573922816892,0.1671644716940441,44.339025932953824
Goa,GA,2024-25,1589000,30.803333333333335,4357.1725,19.38535766729599,357611,93.6,151.38,0.7821399776376705,0.17217037038103783,45.437382001258655
Goa,GA,2025-26r,1597000,35.07833333333333,5029.244166666666,21.96514297641411,357611,93.6,151.38,0.7940225629936517,0.18036226391302915,46.211646837820915
Gujarat,GJ,2023-24,72223500,337.2633333333333,55293.96083333333,4.669717381923243,181963,84.6,76.73,0.49231405860939587,0.3247694039962654,13.267149888886582
Gujarat,GJ,2024-25,73083000,466.8666666666667,71678.93833333334,6.388170527573672,181963,84.6,76.21,0.49762212943096373,0.33281107447303443,13.498351189743168
Gujarat,GJ,2025-26r,73928000,518.2475,77638.32166666667,7.01016529596364,181963,84.6,76.21,0.5029302002525315,0.33747215346428466,13.65788334595823
Haryana,HR,2023-24,30512500,272.2558333333333,41860.1825,8.922763894578724,182816,84.8,96.97,0.4267556194050117,0.42544724475062085,18.61859893486276
Haryana,HR,2024-25,30875500,353.0808333333333,50916.152500000004,11.435631271828257,194285,84.8,97.32,0.4329936055807443,0.44936203506994177,18.908195818691198
Haryana,HR,2025-26r,31233000,397.9325,56701.9,12.740770979412801,194285,84.8,97.32,0.43923159175647686,0.4623248606982107,19.24246790253898
Himachal Pradesh,HP,2023-24,7499000,39.82333333333333,5460.864166666666,5.310485842556785,153887,88.8,87.96,0.10336697352633242,0.3176365512128294,24.576610214695293
Himachal Pradesh,HP,2024-25,7536500,54.7025,7104.475,7.258342732037418,162275,88.8,88.45,0.10361195359309007,0.33249515055100637,25.131028992237773
Himachal Pradesh,HP,2025-26r,7571500,59.1425,7622.3775000000005,7.81119989434062,162275,88.8,88.45,0.10385693365984772,0.340598972825674,25.133725153536286
Jammu and Kashmir,JK,2023-24,13684500,38.093333333333334,5835.845,2.7836847041056183,75955,82,69.63,0.30795638172568585,0.26946082032728186,14.447002082648252
Jammu and Kashmir,JK,2024-25,13782000,67.75166666666667,9556.095833333333,4.915953175639723,81554,82,71.85,0.3106925058445316,0.22736545391442556,14.729357132491655
Jammu and Kashmir,JK,2025-26r,13879000,82.10166666666666,10958.780833333334,5.915531858683383,81554,82,71.85,0.3134286299633774,0.23370977868936618,14.792131997982564
Jharkhand,JH,2023-24,39880500,115.91416666666666,16923.463333333333,2.906537447290447,64347,76.7,49.04,0.2635005754903332,0.6398256226813007,8.826368776720452
Jharkhand,JH,2024-25,40377500,169.19583333333333,23037.200833333332,4.190349410769199,68357,76.7,47.82,0.26534204077200624,0.6681695957027558,9.002538542505109
Jharkhand,JH,2025-26r,40867000,180.58583333333334,24132.391666666666,4.418866893418488,68357,76.7,47.82,0.2671835060536793,0.685610923413582,9.01950228790956
Karnataka,KA,2023-24,68044500,921.3775,129731.19750000001,13.540807853683987,191970,82.7,84.93,0.44845588464651837,0.3480375374647881,17.091756130179515
Karnataka,KA,2024-25,68467500,1167.7391666666667,160639.22333333333,17.055379072796097,204605,82.7,87.94,0.4533958177007785,0.36703129218759895,17.354219155073576
Karnataka,KA,2025-26r,68876500,1138.5925,156284.12416666668,16.530928546020775,204605,82.7,87.94,0.4583357507550387,0.38316388778824523,17.551704863051985
Kerala,KL,2023-24,35895500,251.02333333333334,36898.869166666664,6.993169988810111,165587,95.3,93.74,0.7774544918871467,0.2147661969131321,20.537393266565445
Kerala,KL,2024-25,36039000,339.99666666666667,47495.21166666667,9.434131542680614,173818,95.3,99.97,0.8014902886982846,0.23398069451482356,21.140986153888843
Kerala,KL,2025-26r,36175000,394.29166666666663,55152.255,10.899562312831145,173818,95.3,99.97,0.8255260855094226,0.2510185548295533,21.30200414651002
Ladakh,LA,2023-24,301500,1.8333333333333333,413.0566666666667,6.0807075732448865,NA,81,107.46,NA,0.09294740501387677,33.83084577114428
Ladakh,LA,2024-25,303000,3.0566666666666666,597.0366666666667,10.088008800880088,NA,81,139.93,NA,0.07706159481927574,34.65346534653465
Ladakh,LA,2025-26r,305000,3.513333333333333,627.1483333333333,11.519125683060109,NA,81,139.93,NA,0.08604702833643176,34.75409836065574
Lakshadweep,LD,2023-24,69000,0.17416666666666666,30.001666666666665,2.524154589371981,NA,97.3,85.68,1,0.19123757763975155,36.231884057971016
Lakshadweep,LD,2024-25,69000,0.4275,50.48083333333334,6.195652173913044,NA,97.3,75.9,1,0.1895576259489303,39.130434782608695
Lakshadweep,LD,2025-26r,69500,0.5716666666666667,62.14083333333333,8.225419664268586,NA,97.3,75.9,1,0.1901733470366564,40.28776978417266
Madhya Pradesh,MP,2023-24,87438500,474.24333333333334,66500.7325,5.423735921056895,67301,75.2,55.5,0.29103854409700025,0.6506315566218654,9.200752528920326
Madhya Pradesh,MP,2024-25,88469500,539.95,71829.73083333333,6.103233317697059,70434,75.2,55.78,0.29221474420103727,0.6676413345474821,9.367070007177615
Madhya Pradesh,MP,2025-26r,89475000,472.7575,63480.72083333333,5.2836825929030455,70434,75.2,55.78,0.29339094430507423,0.6821256896490605,9.379156188879575
Maharashtra,MH,2023-24,127197000,1944.7733333333333,264073.895,15.289459132946007,166013,87.3,86.12,0.4878884455105921,0.33665495585413185,11.803737509532457
Maharashtra,MH,2024-25,128171500,1996.07,252535.895,15.573430910927936,176678,87.3,85.24,0.4907416804340222,0.35508001754066953,12.040118122983658
Maharashtra,MH,2025-26r,129121500,2141.185,253527.155,16.582714729924916,176678,87.3,85.24,0.49359491535745237,0.3609230326525467,12.215626367413638
Manipur,MN,2023-24,3245500,4.641666666666667,1306.0666666666666,1.4301853848919015,61059,92,69.21,0.3269612879401147,0.4485016362677399,8.165151748574951
Manipur,MN,2024-25,3274500,9.753333333333334,2301.778333333333,2.978571792131114,61059,92,70.01,0.32975084725235226,0.46150059461182424,8.367689723621927
Manipur,MN,2025-26r,3303500,14.44,2947.6558333333332,4.371121537762979,61059,92,70.01,0.33254040656458983,0.4441070761153699,8.445588012713788
Meghalaya,ML,2023-24,3371500,6.074166666666667,1095.2108333333333,1.8016214345741262,78387,94.2,61.28,0.20741264290473704,0.32754252426808245,12.012457363191459
Meghalaya,ML,2024-25,3402000,11.28,1659.1316666666667,3.315696649029982,84578,94.2,61.08,0.20794977897406738,0.3527348046503324,12.022339800117578
Meghalaya,ML,2025-26r,3432000,15.22,2063.4608333333335,4.434731934731935,84578,94.2,61.08,0.20848691504339772,0.3782932675096504,11.975524475524475
Mizoram,MZ,2023-24,1246500,4.761666666666667,1046.7658333333334,3.820029415697286,151676,98.2,99.44,0.5526579706129457,0.4084198930214763,19.574809466506217
Mizoram,MZ,2024-25,1258000,8.070833333333333,1430.9108333333334,6.415606783253843,151676,98.2,98.31,0.5551813721477057,0.43758372910677285,19.87281399046105
Mizoram,MZ,2025-26r,1269500,11.660833333333333,1778.3708333333334,9.185374819482735,151676,98.2,98.31,0.5577047736824656,0.45685058552326585,20.32296179598267
Nagaland,NL,2023-24,2248000,5.494166666666667,1278.805,2.444024317912218,77568,95.7,73.69,0.4709611202949715,0.25686039768653846,10.097864768683273
Nagaland,NL,2024-25,2268500,9.474166666666667,1706.5166666666667,4.176401440011755,77568,95.7,72.9,0.4855512099052258,0.2692709229242474,10.800088163985013
Nagaland,NL,2025-26r,2289000,11.728333333333333,1829.7883333333334,5.123780399009757,77568,95.7,72.9,0.50014129951548,0.27128251094311606,11.052861511577108
Odisha,OR,2023-24,44398500,233.845,33966.36916666667,5.266957217023098,89705,79,55.26,0.1898988752403396,0.6068326469023476,13.39009200761287
Odisha,OR,2024-25,44527000,321.6616666666667,42288.559166666666,7.223968977624064,96224,79,58.09,0.1917422940500343,0.6498041729253904,13.769173759741282
Odisha,OR,2025-26r,44645000,300.755,38733.949166666665,6.7365886437451,96224,79,58.09,0.19358571285972898,0.6706704029482674,13.983648784858326
Puducherry,PY,2023-24,1676500,11.855,1734.3475,7.0712794512376975,143470,92.7,74.07,0.7035383350846053,0.15903127233331052,17.59618252311363
Puducherry,PY,2024-25,1713500,15.614166666666666,2188.4991666666665,9.11244042408326,154213,92.7,66.69,0.7051556893204676,0.17428543814759026,17.741464838050774
Puducherry,PY,2025-26r,1751500,18.4275,2549.253333333333,10.520982015415358,154213,92.7,66.69,0.7067730435563299,0.19329532902433752,17.41364544675992
Punjab,PB,2023-24,30894000,147.50083333333333,26168.445,4.774416823115599,130758,83.4,88.79,0.4215608756579975,0.37271405636501687,22.56101508383505
Punjab,PB,2024-25,31090000,187.8225,31721.773333333334,6.04125120617562,136667,83.4,87.31,0.4252990267368786,0.3899099190579204,22.968800257317465
Punjab,PB,2025-26r,31279000,211.85833333333332,36127.012500000004,6.773181154555239,136667,83.4,87.31,0.42903717781575973,0.3971199553036915,23.07298826688833
Rajasthan,RJ,2023-24,81752000,452.3016666666667,71899.48166666667,5.532606745604593,90414,75.8,64.02,0.26754178798688133,0.5797304263137093,10.867012427830513
Rajasthan,RJ,2024-25,82624000,602.995,90650.83083333334,7.298061096049574,96638,75.8,62.82,0.2690490274866658,0.600467257789393,11.028272656855151
Rajasthan,RJ,2025-26r,83469500,562.81,83780.96833333334,6.742702424238794,96638,75.8,62.82,0.2705562669864503,0.6146783214355889,11.121427587322314
Sikkim,SK,2023-24,694000,4.1866666666666665,726.0325,6.032660902977906,292339,84.7,85.79,0.5086516005173558,0.15517817188618083,25.936599423631122
Sikkim,SK,2024-25,700000,6.4191666666666665,953.2975,9.170238095238096,292339,84.7,91.25,0.529221385267071,0.16194380887768947,26.857142857142858
Sikkim,SK,2025-26r,706000,8.3175,1114.7341666666666,11.781161473087819,292339,84.7,91.25,0.5497911700167861,0.1828918938657216,27.3371104815864
Tamil Nadu,TN,2023-24,77050500,521.2983333333333,85907.32833333334,6.765670999322955,178496,85.5,79.41,0.5407562531752628,0.24993775510508778,17.243236578607537
Tamil Nadu,TN,2024-25,77279500,692.9591666666666,107468.16416666667,8.966920938498136,197747,85.5,82.09,0.5452986634399939,0.2714591668904434,17.7407980124095
Tamil Nadu,TN,2025-26r,77488000,790.6991666666667,120080.62833333333,10.20414988987542,197747,85.5,82.09,0.549841073704725,0.2938874015541766,17.988591781953332
Telangana,TG,2023-24,38226000,745.23,128049.135,19.495369643698005,179105,76.9,92.96,0.4829423536642136,0.39348565874463304,16.541097682205827
Telangana,TG,2024-25,38408000,882.6466666666666,140273.01916666667,22.980802610567242,192128,76.9,94.07,0.4906436656787328,0.4137778882001424,17.12143303478442
Telangana,TG,2025-26r,38582000,849.8183333333334,134098.10416666666,22.026290325367615,192128,76.9,94.07,0.498344977693252,0.43765485885272004,17.401897257788605
Tripura,TR,2023-24,4175000,7.701666666666666,1295.8291666666667,1.8447105788423155,98606,93.7,52.08,0.4016794049547483,0.295739413784613,15.64071856287425
Tripura,TR,2024-25,4213000,11.5,1697.8625,2.729646332779492,106126,93.7,51.91,0.4128779985955548,0.31773762389088817,15.76074056491811
Tripura,TR,2025-26r,4250000,14.5775,1973.5516666666667,3.4299999999999997,106126,93.7,51.91,0.42407659223636124,0.32581741722452506,15.788235294117648
Uttar Pradesh,UP,2023-24,237679500,731.725,107069.35666666667,3.078620579393679,51898,78.2,54.36,0.2416695078229224,0.542290498271072,8.207270715396154
Uttar Pradesh,UP,2024-25,240070000,1002.1375,136182.3125,4.174355396342733,55990,78.2,54.49,0.2431883277666479,0.5683930121425065,8.356312742116883
Uttar Pradesh,UP,2025-26r,242365500,1096.2891666666667,145292.96083333335,4.5232888619323575,55990,78.2,54.49,0.24470714771037336,0.5883081796905896,8.402598554662276
Uttarakhand,UK,2023-24,11735500,85.2575,11678.913333333334,7.2649226705295895,150931,83.8,83.67,0.3633775807456636,0.40334627097253767,20.12696519108687
Uttarakhand,UK,2024-25,11854000,105.55166666666666,13531.104166666666,8.904307969180586,158819,83.8,82.97,0.36826178902085005,0.42686103150496424,20.59220516281424
Uttarakhand,UK,2025-26r,11970500,115.08,14493.391666666666,9.61363351572616,158819,83.8,82.97,0.3731459972960366,0.44273161647308606,20.717597427008062
West Bengal,WB,2023-24,99483000,303.3183333333333,53095.63333333333,3.0489463861497272,77933,82.6,63.44,0.37147838589913185,0.6318744928765588,10.290200335735754
West Bengal,WB,2024-25,99962500,433.0275,68927.69916666667,4.331899462298361,82781,82.6,63.69,0.3756977608112596,0.6659580860946924,10.44991871951982
West Bengal,WB,2025-26r,100416500,457.2125,68193.37666666666,4.553161084084787,82781,82.6,63.69,0.37991713572338726,0.6812809865688563,10.535121220118208
